"id","label","rank","x","y","cost","target"
50465,"Dessobriga",60,-4.328,42.411,0.0,0
50146,"Deultum",80,27.306,42.401,0.0,0
50147,"Deva",80,-2.897,53.190,0.0,0
50148,"Diana Veteranorum",80,5.889,35.790,0.0,0
50450,"Dianium",80,0.099,38.837,0.0,0
50149,"Dierna",80,22.402,44.708,0.0,0
50651,"Dioscurias",90,41.003,42.993,0.0,0
50459,"Divodurum",70,6.186,49.123,0.0,0
50151,"Doclea",80,19.280,42.479,0.0,0
50152,"Domavium",80,19.381,44.141,0.0,0
50782,"Donousa",70,25.8,37.1,0.0,0
50153,"Dorylaion",80,30.528,39.814,0.0,0
50154,"Drobeta",80,22.659,44.635,0.0,0
50155,"Dura",80,40.730,34.746,0.0,0
50156,"Durnonovaria",80,-2.435,50.710,0.0,0
50157,"Durocortorum",80,4.031,49.262,0.0,0
50158,"Durostorum",80,27.260,44.116,0.0,0
50159,"Dyrrhachium",90,19.454,41.324,0.0,0
50160,"Eburacum",90,-1.113,53.954,0.0,0
50448,"Ebusus",80,1.424,38.910,0.0,0
50161,"Edessa",90,38.794,37.159,0.0,0
50162,"Eleusis",80,23.543,38.045,0.0,0
50074,"Eleutheropolis",90,34.888,31.620,0.0,0
50163,"Emerita Augusta",90,-6.347,38.915,0.0,0
50164,"Emesa",80,36.716,34.734,0.0,0
50165,"Emmaus",80,34.989,31.838,0.0,0
50166,"Emona",80,14.505,46.050,0.0,0
50167,"Emporiae",80,3.100,42.150,0.0,0
50168,"Endidae",60,11.273,46.317,0.0,0
50169,"Ephesus",100,27.348,37.939,0.0,0
50528,"Epidaurum",80,18.220,42.580,0.0,0
50170,"Epiphaneia",80,36.749,35.143,0.0,0
50538,"Euesperides",80,20.079,32.135,0.0,0
50171,"Fanum Fortunae",80,13.016,43.844,0.0,0
50172,"Faventia",70,11.883,44.285,0.0,0
50173,"Ferentinum",80,13.252,41.692,0.0,0
50219,"Flaviopolis",70,32.197,40.806,0.0,0
50084,"Flavium Brigantium",70,-8.397,43.370,0.0,0
50174,"Florentia",80,11.256,43.768,0.0,0
50175,"Formiae",80,13.605,41.255,0.0,0
50720,"Forum Appii",60,13.041,41.437,0.0,0
50176,"Forum Iulii",80,6.731,43.441,0.0,0
50177,"Fregellanum",60,13.512,41.545,0.0,0
50178,"Gadara",80,35.733,32.061,0.0,0
50179,"Gades",90,-6.293,36.529,0.0,0
50180,"Galacum",60,-2.592,54.171,0.0,0
50485,"Galata",60,8.929,37.527,0.0,0
50487,"Gallicum Fretum",60,9.159,41.387,0.0,0
50181,"Gaza",90,34.458,31.510,0.0,0
50182,"Genava",70,6.138,46.202,0.0,0
50183,"Genua",70,8.933,44.406,0.0,0
50562,"Geraistos",70,24.550,37.980,0.0,0
50184,"Germa",90,31.616,39.510,0.0,0
50185,"Gesoriacum",70,1.614,50.724,0.0,0
50186,"Glevum",80,-2.262,51.867,0.0,0
50648,"Gorgippia",80,37.310,44.892,0.0,0
50548,"Gythion",80,22.570,36.760,0.0,0
50187,"Hadrianoupolis",60,26.566,41.683,0.0,0
50188,"Hadrumetum",90,10.644,35.837,0.0,0
50608,"Halicarnassus",80,27.430,37.040,0.0,0
50189,"Heliopolis",80,31.295,30.124,0.0,0
50190,"Heliopolis (Baalbek)",90,36.203,34.014,0.0,0
50569,"Hephaistia",70,25.235,39.932,0.0,0
50430,"Heraclea Pontica",90,31.419,41.282,0.0,0
50521,"Heracleum Pr.",60,16.060,37.930,0.0,0
50191,"Heraklea",80,21.345,41.025,0.0,0
50192,"Herakleopolis",80,30.941,29.086,0.0,0
50193,"Herdoniae",70,15.619,41.315,0.0,0
50194,"Hermopolis Magna",90,30.804,27.778,0.0,0
50195,"Hibis",80,30.553,25.437,0.0,0
50196,"Hierakonpolis",70,30.477,31.018,0.0,0
50197,"Hierasykaminos",70,32.683,23.068,0.0,0
50198,"Hippo Regius",90,7.754,36.888,0.0,0
50199,"Hispalis",90,-5.997,37.382,0.0,0
50200,"Histria",80,28.768,44.552,0.0,0
50742,"Horreum Margi",70,21.390,43.933,0.0,0
50530,"Hydruntum",70,18.490,40.150,0.0,0
50201,"Iader",80,15.228,44.114,0.0,0
50783,"Icaros",70,26.059,37.622,0.0,0
50541,"Ichthys Pr.",60,21.320,37.650,0.0,0
50202,"Iconium",80,32.512,37.866,0.0,0
50482,"Igilgili",80,5.767,36.822,0.0,0
50203,"Ilerda",80,0.625,41.613,0.0,0
50204,"Ilium",80,26.265,39.947,0.0,0
50489,"Ilva",70,10.240,42.743,0.0,0
50784,"Imbros",70,25.844,40.161,0.0,0
50205,"Interpromium",70,13.933,42.243,0.0,0
50206,"Iol Caesarea",90,2.196,36.606,0.0,0
50636,"Ioppe",60,34.751,32.055,0.0,0
50785,"Ios",70,25.333,36.717,0.0,0
50207,"Isca",80,-2.966,51.618,0.0,0
50550,"Isthmia",90,22.987,37.941,0.0,0
50208,"Italica",80,-6.035,37.438,0.0,0
50209,"Iulia Concordia",80,12.843,45.756,0.0,0
50462,"Iuliobona",70,0.537,49.525,0.0,0
50463,"Iuliobriga",80,-4.112,43.000,0.0,0
50210,"Iuliomagus",80,-0.548,47.458,0.0,0
50211,"Iulium Carnicum",70,13.012,46.452,0.0,0
50212,"Iuvavum",80,13.061,47.804,0.0,0
50213,"Ierusalem",100,35.234,31.776,0.0,0
50582,"Kadiston Mons",60,25.770,35.340,0.0,0
50214,"Kallipolis",60,26.680,40.414,0.0,0
50527,"Kallipolis-Anxa",70,17.990,40.060,0.0,0
50623,"Kalos Limen",80,32.703,45.521,0.0,0
50215,"Kapitolias",70,35.857,32.610,0.0,0
50626,"Karambis Pr.",60,33.370,42.014,0.0,0
50567,"Kardamis",70,25.040,31.920,0.0,0
50216,"Katabolos",70,35.985,36.922,0.0,0
